Nuclide,Default_Type,Age,AerosolDiam,F,M,S,QAFLAG
Hg-199m  , M,7300,      1.00,  1.1422E-11,  2.3988E-11,  2.5373E-11,BBB
Hg-203   , M,7300,      1.00,  4.0841E-10,  1.8799E-09,  2.3181E-09,BAA
Hg-205   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Hg-206   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Hg-207   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ho-150   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ho-153   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ho-153m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ho-154   , M,7300,      1.00,  8.5051E-12,  1.2005E-11,  1.2389E-11,BBB
Ho-154m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ho-155   , M,7300,      1.00,  1.1130E-11,  1.8442E-11,  1.9280E-11,BBB
Ho-156   , M,7300,      1.00,  2.5402E-11,  4.2474E-11,  4.4356E-11,BBB
Ho-157   , M,7300,      1.00,  2.7249E-12,  3.7793E-12,  3.8954E-12,BBB
Ho-159   , M,7300,      1.00,  3.1545E-12,  5.0233E-12,  5.2366E-12,BBB
Ho-160   , M,7300,      1.00,  7.4269E-12,  1.0451E-11,  1.0784E-11,BBB
Ho-161   , M,7300,      1.00,  3.1923E-12,  5.5607E-12,  5.8228E-12,BBB
Ho-162   , M,7300,      1.00,  1.3395E-12,  2.1428E-12,  2.2312E-12,BBB
Ho-162m  , M,7300,      1.00,  8.4501E-12,  1.5647E-11,  1.6442E-11,BBB
Ho-163   , M,7300,      1.00,  2.3449E-10,  1.0628E-10,  5.0885E-11,AAA
Ho-164   , M,7300,      1.00,  3.2338E-12,  6.3670E-12,  6.7122E-12,BBB
Ho-164m  , M,7300,      1.00,  3.3142E-12,  9.0112E-12,  9.6393E-12,BBB
Ho-166   , M,7300,      1.00,  2.2768E-10,  5.3455E-10,  5.7420E-10,BAA
Ho-166m  , M,7300,      1.00,  2.4932E-07,  1.1568E-07,  5.7324E-08,BBA
Ho-167   , M,7300,      1.00,  2.3155E-11,  5.6206E-11,  5.9862E-11,BBB
Ho-168   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ho-168m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ho-170   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
I-118    , F,7300,      1.00,  4.3989E-11,  2.7754E-11,  2.4119E-11,ABB
I-118m   , F,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
I-119    , F,7300,      1.00,  1.2238E-11,  1.2708E-11,  1.2698E-11,BBB
I-120    , F,7300,      1.00,  7.2382E-11,  7.6441E-11,  7.5265E-11,ABB
I-120m   , F,7300,      1.00,  4.9702E-11,  5.2977E-11,  5.3416E-11,BBB
I-121    , F,7300,      1.00,  2.1524E-11,  1.9317E-11,  1.7834E-11,ABB
I-122    , F,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
I-123    , F,7300,      1.00,  6.5376E-11,  5.1496E-11,  4.8046E-11,ABB
I-124    , F,7300,      1.00,  3.8194E-09,  1.0223E-09,  6.6932E-10,AAB
I-125    , F,7300,      1.00,  4.5090E-09,  1.2549E-09,  3.6575E-10,AAA
I-126    , F,7300,      1.00,  8.5460E-09,  2.3339E-09,  1.1976E-09,AAA
I-128    , F,7300,      1.00,  1.0627E-11,  1.4975E-11,  1.5478E-11,BBB
I-129    , F,7300,      1.00,  3.1531E-08,  1.4217E-08,  9.5781E-09,AAA
I-130    , F,7300,      1.00,  5.5268E-10,  3.6067E-10,  3.2557E-10,ABB
I-130m   , F,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
I-131    , F,7300,      1.00,  6.3395E-09,  1.9874E-09,  1.2522E-09,AAA
I-132    , F,7300,      1.00,  7.9556E-11,  9.1809E-11,  9.0464E-11,ABB
I-132m   , F,7300,      1.00,  5.6615E-11,  7.0900E-11,  7.0661E-11,ABB
I-133    , F,7300,      1.00,  1.2706E-09,  4.5470E-10,  3.8617E-10,AAB
I-134    , F,7300,      1.00,  3.6398E-11,  4.3232E-11,  4.4029E-11,BBB
I-134m   , F,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
I-135    , F,7300,      1.00,  2.6180E-10,  1.8558E-10,  1.7162E-10,ABB
In-103   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
In-105   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
In-106   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
In-106m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
In-107   , M,7300,      1.00,  1.1180E-11,  1.9474E-11,  2.0393E-11,BBB
In-108   , M,7300,      1.00,  2.9073E-11,  3.7712E-11,  3.8665E-11,BBB
In-108m  , M,7300,      1.00,  1.9708E-11,  2.9753E-11,  3.0857E-11,BBB
In-109   , M,7300,      1.00,  2.3060E-11,  3.0782E-11,  3.1740E-11,BBB
In-109m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
In-110   , M,7300,      1.00,  9.1045E-11,  1.0930E-10,  1.1132E-10,BBB
In-110m  , M,7300,      1.00,  2.3684E-11,  3.9269E-11,  4.0986E-11,BBB
